title,budget,revenue,year_classify
Pather Panchali,70000.0,100000.0,Before 2000
Doctor Strange in the Multiverse of Madness,200.0,954.8,From 2000
Thor: The Dark World ,165.0,644.8,From 2000
Thor: Ragnarok ,180.0,854.0,From 2000
Thor: Love and Thunder ,250.0,670.0,From 2000
The Shawshank Redemption,25.0,73.3,Before 2000
Interstellar,165.0,701.8,From 2000
The Pursuit of Happyness,55.0,307.1,From 2000
Gladiator,103.0,460.5,From 2000
Titanic,200.0,2202.0,Before 2000
It's a Wonderful Life,3.18,3.3,Before 2000
Avatar,237.0,2847.0,From 2000
The Godfather,7.2,291.0,Before 2000
The Dark Knight,185.0,1006.0,From 2000
Schindler's List,22.0,322.2,Before 2000
Jurassic Park,63.0,1046.0,Before 2000
Parasite,15.5,263.1,From 2000
Avengers: Endgame,400.0,2798.0,From 2000
Avengers: Infinity War,400.0,2048.0,From 2000
Captain America: The First Avenger,216.7,370.6,From 2000
Captain America: The Winter Soldier,177.0,714.4,From 2000
Dilwale Dulhania Le Jayenge,400.0,2000.0,Before 2000
3 Idiots,550.0,4000.0,From 2000
Kabhi Khushi Kabhie Gham,390.0,1360.0,From 2000
Bajirao Mastani ,1.4,3.5,From 2000
Taare Zameen Par,120.0,1350.0,From 2000
Munna Bhai M.B.B.S.,100.0,410.0,From 2000
PK,850.0,8540.0,From 2000
Sanju,1.0,5.9,From 2000
The Kashmir Files,250.0,3409.0,From 2000
Bajrangi Bhaijaan,900.0,11690.0,From 2000
Race 3,1.8,3.1,From 2000
Shershaah,500.0,950.0,From 2000
K.G.F: Chapter 2,1.0,12.5,From 2000
Pushpa: The Rise - Part 1,2.0,3.6,From 2000
RRR,5.5,12.0,From 2000
Baahubali: The Beginning,1.8,6.5,From 2000
